m,n,k,b,p,q,algo,lookahead,gflops
512,512,512,128,1,1,p2p,0,72.904793
512,512,512,128,1,1,p2p,0,116.50844
512,512,512,128,1,1,p2p,0,118.934631
512,512,512,128,1,1,p2p,0,118.514549
512,512,512,128,1,1,p2p,0,119.890777
512,512,512,128,1,1,bcast,0,115.208348
512,512,512,128,1,1,bcast,0,105.8917
512,512,512,128,1,1,bcast,0,117.528662
512,512,512,128,1,1,bcast,0,117.220724
512,512,512,128,1,1,bcast,0,118.619291
512,512,512,128,1,1,p2p-i-la,1,113.88861
512,512,512,128,1,1,p2p-i-la,1,118.045491
512,512,512,128,1,1,p2p-i-la,1,117.477227
512,512,512,128,1,1,p2p-i-la,1,116.155546
512,512,512,128,1,1,p2p-i-la,1,118.566897
512,512,512,128,1,1,p2p-i-la,2,113.985331
512,512,512,128,1,1,p2p-i-la,2,118.724218
512,512,512,128,1,1,p2p-i-la,2,117.683239
512,512,512,128,1,1,p2p-i-la,2,118.671731
512,512,512,128,1,1,p2p-i-la,2,119.997967
512,512,512,128,1,1,p2p-i-la,3,78.169904
512,512,512,128,1,1,p2p-i-la,3,119.304652
512,512,512,128,1,1,p2p-i-la,3,118.253502
512,512,512,128,1,1,p2p-i-la,3,118.881958
512,512,512,128,1,1,p2p-i-la,3,120.428649
512,512,512,128,1,1,p2p-i-la,4,115.804772
512,512,512,128,1,1,p2p-i-la,4,109.431492
512,512,512,128,1,1,p2p-i-la,4,117.06736
512,512,512,128,1,1,p2p-i-la,4,117.06736
512,512,512,128,1,1,p2p-i-la,4,120.159111
1024,1024,1024,128,1,1,p2p,0,115.767317
1024,1024,1024,128,1,1,p2p,0,114.734392
1024,1024,1024,128,1,1,p2p,0,115.773548
1024,1024,1024,128,1,1,p2p,0,115.549294
1024,1024,1024,128,1,1,p2p,0,115.886008
1024,1024,1024,128,1,1,bcast,0,115.084871
1024,1024,1024,128,1,1,bcast,0,114.386041
1024,1024,1024,128,1,1,bcast,0,115.686236
1024,1024,1024,128,1,1,bcast,0,115.549294
1024,1024,1024,128,1,1,bcast,0,115.183636
1024,1024,1024,128,1,1,p2p-i-la,1,115.742353
1024,1024,1024,128,1,1,p2p-i-la,1,115.350679
1024,1024,1024,128,1,1,p2p-i-la,1,115.171278
1024,1024,1024,128,1,1,p2p-i-la,1,115.035552
1024,1024,1024,128,1,1,p2p-i-la,1,114.881701
1024,1024,1024,128,1,1,p2p-i-la,2,113.695659
1024,1024,1024,128,1,1,p2p-i-la,2,114.826415
1024,1024,1024,128,1,1,p2p-i-la,2,115.836
1024,1024,1024,128,1,1,p2p-i-la,2,115.929799
1024,1024,1024,128,1,1,p2p-i-la,2,115.704939
1024,1024,1024,128,1,1,p2p-i-la,3,115.892264
1024,1024,1024,128,1,1,p2p-i-la,3,114.100406
1024,1024,1024,128,1,1,p2p-i-la,3,114.215702
1024,1024,1024,128,1,1,p2p-i-la,3,113.473376
1024,1024,1024,128,1,1,p2p-i-la,3,114.118589
1024,1024,1024,128,1,1,p2p-i-la,4,115.673781
1024,1024,1024,128,1,1,p2p-i-la,4,115.152747
1024,1024,1024,128,1,1,p2p-i-la,4,99.711363
1024,1024,1024,128,1,1,p2p-i-la,4,113.575401
1024,1024,1024,128,1,1,p2p-i-la,4,114.325154
1024,1024,1024,128,1,1,p2p-i-la,5,115.226897
1024,1024,1024,128,1,1,p2p-i-la,5,114.900146
1024,1024,1024,128,1,1,p2p-i-la,5,115.493363
1024,1024,1024,128,1,1,p2p-i-la,5,113.731784
1024,1024,1024,128,1,1,p2p-i-la,5,115.867258
1024,1024,1024,128,1,1,p2p-i-la,6,115.319712
1024,1024,1024,128,1,1,p2p-i-la,6,114.783453
1024,1024,1024,128,1,1,p2p-i-la,6,114.428717
1024,1024,1024,128,1,1,p2p-i-la,6,114.112524
1024,1024,1024,128,1,1,p2p-i-la,6,113.955093
1024,1024,1024,128,1,1,p2p-i-la,7,115.128058
1024,1024,1024,128,1,1,p2p-i-la,7,114.581345
1024,1024,1024,128,1,1,p2p-i-la,7,115.854753
1024,1024,1024,128,1,1,p2p-i-la,7,114.826415
1024,1024,1024,128,1,1,p2p-i-la,7,114.832556
1024,1024,1024,128,1,1,p2p-i-la,8,116.048835
1024,1024,1024,128,1,1,p2p-i-la,8,113.930904
1024,1024,1024,128,1,1,p2p-i-la,8,113.985331
1024,1024,1024,128,1,1,p2p-i-la,8,113.443409
1024,1024,1024,128,1,1,p2p-i-la,8,113.840311
1536,1536,1536,128,1,1,p2p,0,114.172067
1536,1536,1536,128,1,1,p2p,0,114.465988
1536,1536,1536,128,1,1,p2p,0,114.161281
1536,1536,1536,128,1,1,p2p,0,113.84568
1536,1536,1536,128,1,1,p2p,0,114.017613
1536,1536,1536,128,1,1,bcast,0,115.701243
1536,1536,1536,128,1,1,bcast,0,114.134318
1536,1536,1536,128,1,1,bcast,0,113.724205
1536,1536,1536,128,1,1,bcast,0,113.631494
1536,1536,1536,128,1,1,bcast,0,113.325888
1536,1536,1536,128,1,1,p2p-i-la,1,114.903324
1536,1536,1536,128,1,1,p2p-i-la,1,114.531107
1536,1536,1536,128,1,1,p2p-i-la,1,114.429848
1536,1536,1536,128,1,1,p2p-i-la,1,114.686957
1536,1536,1536,128,1,1,p2p-i-la,1,114.540156
1536,1536,1536,128,1,1,p2p-i-la,2,115.716024
1536,1536,1536,128,1,1,p2p-i-la,2,114.012227
