m,n,k,b,p,q,algo,lookahead,gflops
1024,1024,1024,256,1,1,p2p,0,54.234865
1024,1024,1024,256,1,1,p2p,0,121.691145
1024,1024,1024,256,1,1,p2p,0,125.407835
1024,1024,1024,256,1,1,p2p,0,122.85375
1024,1024,1024,256,1,1,p2p,0,120.80804
1024,1024,1024,256,1,1,bcast,0,56.876435
1024,1024,1024,256,1,1,bcast,0,119.079719
1024,1024,1024,256,1,1,bcast,0,118.188429
1024,1024,1024,256,1,1,bcast,0,121.02591
1024,1024,1024,256,1,1,bcast,0,122.168826
1024,1024,1024,256,1,1,p2p-i-la,1,56.496374
1024,1024,1024,256,1,1,p2p-i-la,1,114.367773
1024,1024,1024,256,1,1,p2p-i-la,1,122.678304
1024,1024,1024,256,1,1,p2p-i-la,1,124.074624
1024,1024,1024,256,1,1,p2p-i-la,1,122.182731
1024,1024,1024,256,1,1,p2p-i-la,2,115.580385
1024,1024,1024,256,1,1,p2p-i-la,2,118.704526
1024,1024,1024,256,1,1,p2p-i-la,2,122.650271
1024,1024,1024,256,1,1,p2p-i-la,2,124.969948
1024,1024,1024,256,1,1,p2p-i-la,2,119.6703
1024,1024,1024,256,1,1,p2p-i-la,3,55.78894
1024,1024,1024,256,1,1,p2p-i-la,3,113.894652
1024,1024,1024,256,1,1,p2p-i-la,3,119.377598
1024,1024,1024,256,1,1,p2p-i-la,3,120.13894
1024,1024,1024,256,1,1,p2p-i-la,3,122.043848
1024,1024,1024,256,1,1,p2p-i-la,4,56.630459
1024,1024,1024,256,1,1,p2p-i-la,4,117.003573
1024,1024,1024,256,1,1,p2p-i-la,4,112.817631
1024,1024,1024,256,1,1,p2p-i-la,4,121.891451
1024,1024,1024,256,1,1,p2p-i-la,4,120.645152
2048,2048,2048,256,1,1,p2p,0,119.206141
2048,2048,2048,256,1,1,p2p,0,123.621972
2048,2048,2048,256,1,1,p2p,0,121.602429
2048,2048,2048,256,1,1,p2p,0,118.42224
2048,2048,2048,256,1,1,p2p,0,120.780008
2048,2048,2048,256,1,1,bcast,0,119.874883
2048,2048,2048,256,1,1,bcast,0,121.689424
2048,2048,2048,256,1,1,bcast,0,123.671806
2048,2048,2048,256,1,1,bcast,0,119.440671
2048,2048,2048,256,1,1,bcast,0,123.581954
2048,2048,2048,256,1,1,p2p-i-la,1,113.703183
2048,2048,2048,256,1,1,p2p-i-la,1,121.838728
2048,2048,2048,256,1,1,p2p-i-la,1,123.272478
2048,2048,2048,256,1,1,p2p-i-la,1,123.672695
2048,2048,2048,256,1,1,p2p-i-la,1,123.349487
2048,2048,2048,256,1,1,p2p-i-la,2,122.032584
2048,2048,2048,256,1,1,p2p-i-la,2,123.912655
2048,2048,2048,256,1,1,p2p-i-la,2,111.456271
2048,2048,2048,256,1,1,p2p-i-la,2,123.819766
2048,2048,2048,256,1,1,p2p-i-la,2,121.887134
2048,2048,2048,256,1,1,p2p-i-la,3,117.359258
2048,2048,2048,256,1,1,p2p-i-la,3,121.796395
2048,2048,2048,256,1,1,p2p-i-la,3,113.052235
2048,2048,2048,256,1,1,p2p-i-la,3,121.883668
2048,2048,2048,256,1,1,p2p-i-la,3,120.63244
2048,2048,2048,256,1,1,p2p-i-la,4,119.243375
2048,2048,2048,256,1,1,p2p-i-la,4,124.203798
2048,2048,2048,256,1,1,p2p-i-la,4,118.693869
2048,2048,2048,256,1,1,p2p-i-la,4,124.241529
2048,2048,2048,256,1,1,p2p-i-la,4,120.785107
2048,2048,2048,256,1,1,p2p-i-la,5,118.570994
2048,2048,2048,256,1,1,p2p-i-la,5,123.701197
2048,2048,2048,256,1,1,p2p-i-la,5,122.999771
2048,2048,2048,256,1,1,p2p-i-la,5,123.290169
2048,2048,2048,256,1,1,p2p-i-la,5,123.87334
2048,2048,2048,256,1,1,p2p-i-la,6,119.577013
2048,2048,2048,256,1,1,p2p-i-la,6,122.708087
2048,2048,2048,256,1,1,p2p-i-la,6,123.977026
2048,2048,2048,256,1,1,p2p-i-la,6,121.990128
2048,2048,2048,256,1,1,p2p-i-la,6,123.628202
2048,2048,2048,256,1,1,p2p-i-la,7,116.122566
2048,2048,2048,256,1,1,p2p-i-la,7,123.407079
2048,2048,2048,256,1,1,p2p-i-la,7,121.301066
2048,2048,2048,256,1,1,p2p-i-la,7,122.990954
2048,2048,2048,256,1,1,p2p-i-la,7,122.547033
2048,2048,2048,256,1,1,p2p-i-la,8,119.941004
2048,2048,2048,256,1,1,p2p-i-la,8,121.049787
2048,2048,2048,256,1,1,p2p-i-la,8,123.526858
2048,2048,2048,256,1,1,p2p-i-la,8,121.817989
2048,2048,2048,256,1,1,p2p-i-la,8,123.522425
3072,3072,3072,256,1,1,p2p,0,122.212346
3072,3072,3072,256,1,1,p2p,0,122.050279
3072,3072,3072,256,1,1,p2p,0,122.347217
3072,3072,3072,256,1,1,p2p,0,121.758101
3072,3072,3072,256,1,1,p2p,0,111.839475
3072,3072,3072,256,1,1,bcast,0,121.886327
3072,3072,3072,256,1,1,bcast,0,121.299604
3072,3072,3072,256,1,1,bcast,0,122.02305
3072,3072,3072,256,1,1,bcast,0,117.611619
3072,3072,3072,256,1,1,bcast,0,122.246871
3072,3072,3072,256,1,1,p2p-i-la,1,121.047378
3072,3072,3072,256,1,1,p2p-i-la,1,120.820368
3072,3072,3072,256,1,1,p2p-i-la,1,121.755289
3072,3072,3072,256,1,1,p2p-i-la,1,122.006361
3072,3072,3072,256,1,1,p2p-i-la,1,120.990295
3072,3072,3072,256,1,1,p2p-i-la,2,121.402718
3072,3072,3072,256,1,1,p2p-i-la,2,121.423312
3072,3072,3072,256,1,1,p2p-i-la,2,121.15133
3072,3072,3072,256,1,1,p2p-i-la,2,121.356722
3072,3072,3072,256,1,1,p2p-i-la,2,121.971452
